NAMESPACE         NAME                                                   DATA   AGE
default           kube-root-ca.crt                                       1      19d
kube-node-lease   kube-root-ca.crt                                       1      19d
kube-public       kube-root-ca.crt                                       1      19d
kube-system       chart-content-traefik                                  0      19d
kube-system       chart-content-traefik-crd                              0      19d
kube-system       cluster-dns                                            2      19d
kube-system       coredns                                                2      19d
kube-system       extension-apiserver-authentication                     6      19d
kube-system       kube-apiserver-legacy-service-account-token-tracking   1      19d
kube-system       kube-root-ca.crt                                       1      19d
kube-system       local-path-config                                      4      19d
portainer         kube-root-ca.crt                                       1      15d
